uuid,adm4_pcode,date,freq,doh_pois_count,doh_brgy_health_station_count,doh_brgy_health_station_nearest,doh_rural_health_unit_count,doh_rural_health_unit_nearest,doh_hospital_count,doh_hospital_nearest,doh_birthing_home_lying_in_clinic_count,doh_birthing_home_lying_in_clinic_nearest,doh_infirmary_count,doh_infirmary_nearest,doh_drug_abuse_treatment_rehabilitation_center_count,doh_drug_abuse_treatment_rehabilitation_center_nearest,doh_social_hygiene_clinic_count,doh_social_hygiene_clinic_nearest,doh_medical_clinic_count,doh_medical_clinic_nearest
GPDPH000000,PH015518016,2013-01-01,S,0.0,0.0,57.20797856560486,0.0,2223.0530016527223,0.0,1284.2838717262273,0.0,1374.6832298305897,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000001,PH015518031,2013-01-01,S,3.0,0.0,315.3262708654039,0.0,956.8524869460938,3.0,0.0,0.0,360.11112721582344,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000002,PH015518022,2013-01-01,S,4.0,1.0,0.0,0.0,525.9430251450798,2.0,0.0,1.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000003,PH015518024,2013-01-01,S,0.0,0.0,26.057051872639764,0.0,470.8365695461997,0.0,61.589973293687486,0.0,1234.8869762347945,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000004,PH034919017,2013-01-01,S,0.0,0.0,1461.018895513824,0.0,1184.233553562667,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000005,PH034919010,2013-01-01,S,0.0,0.0,2498.251267062404,0.0,6567.68376756556,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000006,PH050506053,2013-01-01,S,1.0,1.0,0.0,0.0,10000.0,0.0,3698.834935548848,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,1813.818557067557
GPDPH000007,PH050506056,2013-01-01,S,1.0,1.0,0.0,0.0,10000.0,0.0,4192.345164050222,0.0,1490.913464609358,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
GPDPH000008,PH050506072,2013-01-01,S,0.0,0.0,1149.121458697047,0.0,10000.0,0.0,1951.4427255399164,0.0,9337.955253771295,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,7150.955989079073
GPDPH000009,PH050506020,2013-01-01,S,0.0,0.0,25.26644645223588,0.0,10000.0,0.0,51.49288099492709,0.0,9561.32423329716,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,6538.825094770443
GPDPH00000A,PH050506051,2013-01-01,S,0.0,0.0,443.9166286986436,0.0,10000.0,0.0,1043.8180836934005,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,4422.328889681109
GPDPH00000B,PH050506022,2013-01-01,S,0.0,0.0,167.41565583858522,0.0,10000.0,0.0,268.3399053913198,0.0,9862.58088129574,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,6009.019152222114
GPDPH00000C,PH050506042,2013-01-01,S,0.0,0.0,825.8374021194531,0.0,10000.0,0.0,1601.3920970886536,0.0,9698.738806375257,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,5835.732230983772
GPDPH00000D,PH050506012,2013-01-01,S,0.0,0.0,540.6244973891559,0.0,10000.0,0.0,1333.601222272553,0.0,9514.902769283148,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,5790.6038527960445
GPDPH00000E,PH050506003,2013-01-01,S,0.0,0.0,669.8528327717752,0.0,10000.0,0.0,4675.743403327996,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,852.6302383967285
GPDPH00000F,PH050506038,2013-01-01,S,0.0,0.0,1298.220830306384,0.0,10000.0,0.0,2068.580871046071,0.0,9780.457374165346,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,6482.686061348729
GPDPH000010,PH050506007,2013-01-01,S,0.0,0.0,1099.9853605892968,0.0,10000.0,0.0,2106.1314755877,0.0,8875.660414877517,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,7355.550956999184
GPDPH000011,PH050506043,2013-01-01,S,0.0,0.0,1217.605540450807,0.0,10000.0,0.0,2064.573162779523,0.0,9064.287305933609,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,7045.482053645183
GPDPH000012,PH063022084,2013-01-01,S,1.0,1.0,0.0,0.0,1051.0365330112684,0.0,88.19578584585658,0.0,659.665343325326,0.0,10000.0,0.0,10000.0,0.0,2681.000915870263,0.0,10000.0
GPDPH000013,PH063022081,2013-01-01,S,0.0,0.0,428.1272646196387,0.0,614.3975798206325,0.0,581.300234965207,0.0,189.07441035770856,0.0,10000.0,0.0,10000.0,0.0,881.7678220618222,0.0,10000.0
GPDPH000014,PH063022178,2013-01-01,S,1.0,0.0,45.39865696120769,0.0,145.72198128815907,1.0,0.0,0.0,1144.325584449217,0.0,10000.0,0.0,10000.0,0.0,2780.977376416502,0.0,10000.0
GPDPH000015,PH063022189,2013-01-01,S,2.0,1.0,0.0,0.0,1375.08522816154,1.0,0.0,0.0,556.8874251625754,0.0,10000.0,0.0,10000.0,0.0,390.3569616702815,0.0,10000.0
GPDPH000016,PH063022064,2013-01-01,S,0.0,0.0,140.14275661448727,0.0,107.80835108766551,0.0,365.7452164397565,0.0,1595.7693803352402,0.0,10000.0,0.0,10000.0,0.0,3716.423686649997,0.0,10000.0
GPDPH000017,PH063022033,2013-01-01,S,1.0,1.0,0.0,0.0,4222.624996794905,0.0,1037.0084067551825,0.0,1290.1119413830186,0.0,10000.0,0.0,10000.0,0.0,6889.473423820015,0.0,10000.0
GPDPH000018,PH063022080,2013-01-01,S,1.0,0.0,128.5343152839174,1.0,0.0,0.0,238.910599843385,0.0,1016.5403831314588,0.0,10000.0,0.0,10000.0,0.0,1522.6531780432535,0.0,10000.0
GPDPH000019,PH063022097,2013-01-01,S,0.0,0.0,289.05152193856054,0.0,887.8570737038459,0.0,617.6122971931401,0.0,1199.0027040449602,0.0,10000.0,0.0,10000.0,0.0,3127.7456011121267,0.0,10000.0
GPDPH00001A,PH063022154,2013-01-01,S,0.0,0.0,281.2938083970405,0.0,949.4093859798536,0.0,73.03240797714912,0.0,504.3812351367376,0.0,10000.0,0.0,10000.0,0.0,2540.641082770584,0.0,10000.0
GPDPH00001B,PH063022041,2013-01-01,S,1.0,1.0,0.0,0.0,1242.924699742684,0.0,722.5387456072302,0.0,785.1698799454819,0.0,10000.0,0.0,10000.0,0.0,3212.832521611847,0.0,10000.0
GPDPH00001C,PH063022186,2013-01-01,S,0.0,0.0,177.93147972848496,0.0,1271.8884451158085,0.0,143.89582055994634,0.0,183.5461178353359,0.0,10000.0,0.0,10000.0,0.0,148.7581644689835,0.0,10000.0
GPDPH00001D,PH063022161,2013-01-01,S,0.0,0.0,555.8098997759164,0.0,1008.0977051544554,0.0,1682.4106941667935,0.0,481.5283353454601,0.0,10000.0,0.0,10000.0,0.0,4092.181744567687,0.0,10000.0
GPDPH00001E,PH063022023,2013-01-01,S,0.0,0.0,458.2777511756898,0.0,573.5499525571181,0.0,3749.006673122254,0.0,3087.0897026495823,0.0,10000.0,0.0,10000.0,0.0,5267.866756714834,0.0,10000.0
GPDPH00001F,PH063022060,2013-01-01,S,1.0,1.0,0.0,0.0,1248.4116453379693,0.0,1380.51016732355,0.0,636.9896868193869,0.0,10000.0,0.0,10000.0,0.0,2525.586959857174,0.0,10000.0
GPDPH000020,PH063022159,2013-01-01,S,1.0,1.0,0.0,0.0,931.37811156299,0.0,402.97844918161854,0.0,468.33483123802944,0.0,10000.0,0.0,10000.0,0.0,2796.5817987607165,0.0,10000.0
GPDPH000021,PH063022181,2013-01-01,S,1.0,0.0,61.76678111672872,0.0,153.9749239509407,1.0,0.0,0.0,1040.4652065467997,0.0,10000.0,0.0,10000.0,0.0,1601.422830558278,0.0,10000.0
GPDPH000022,PH063022011,2013-01-01,S,1.0,1.0,0.0,0.0,4269.91577869402,0.0,182.0613114184361,0.0,692.5237725505137,0.0,10000.0,0.0,10000.0,0.0,6702.141425673868,0.0,10000.0
GPDPH000023,PH063022043,2013-01-01,S,0.0,0.0,49.33236371190155,0.0,1360.062829910211,0.0,225.0436057902273,0.0,279.81531427712656,0.0,10000.0,0.0,10000.0,0.0,254.4521574801882,0.0,10000.0
GPDPH000024,PH063022177,2013-01-01,S,1.0,1.0,0.0,0.0,2298.6071421199667,0.0,2137.2852280584834,0.0,1074.3821398623772,0.0,10000.0,0.0,10000.0,0.0,5406.3527254910205,0.0,10000.0
GPDPH000025,PH063022115,2013-01-01,S,1.0,1.0,0.0,0.0,528.3582101767632,0.0,250.8836667528845,0.0,1558.8118826695409,0.0,10000.0,0.0,10000.0,0.0,2116.074919544178,0.0,10000.0
