uuid,adm4_pcode,date,freq,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
MBISO000000,PH015518001,2022-01-01,S,1210.18,5829.71,5829.71,20.76,100.0,100.0,5195.69,5829.71,5829.71,89.12,100.0,100.0,418.16,5829.71,5829.71,7.17,100.0,100.0
MBISO000001,PH015518002,2022-01-01,S,2697.99,2697.99,2697.99,100.0,100.0,100.0,359.87,2697.99,2697.99,13.34,100.0,100.0,0.0,2697.99,2697.99,0.0,100.0,100.0
MBISO000002,PH015518003,2022-01-01,S,921.44,921.44,921.44,61.54,61.54,61.54,921.44,921.44,921.44,61.54,61.54,61.54,921.44,921.44,921.44,61.54,61.54,61.54
MBISO000003,PH015518004,2022-01-01,S,1393.3,1393.3,1393.3,100.0,100.0,100.0,1393.3,1393.3,1393.3,100.0,100.0,100.0,1351.24,1393.3,1393.3,96.98,100.0,100.0
MBISO000004,PH015518006,2022-01-01,S,4013.27,4343.47,4343.47,92.4,100.0,100.0,3488.86,4343.47,4343.47,80.32,100.0,100.0,0.0,4070.22,4343.47,0.0,93.71,100.0
MBISO000005,PH015518007,2022-01-01,S,6799.24,9071.9,9071.9,74.95,100.0,100.0,0.0,7181.87,9071.9,0.0,79.17,100.0,0.0,0.0,9071.9,0.0,0.0,100.0
MBISO000006,PH015518008,2022-01-01,S,13698.61,17181.23,17181.23,79.73,100.0,100.0,482.94,16066.86,17181.23,2.81,93.51,100.0,0.0,0.0,17181.23,0.0,0.0,100.0
MBISO000007,PH015518009,2022-01-01,S,14434.07,24641.24,24641.24,58.58,100.0,100.0,13495.64,24641.24,24641.24,54.77,100.0,100.0,0.0,9566.29,24641.24,0.0,38.82,100.0
MBISO000008,PH015518010,2022-01-01,S,7481.67,9570.98,10227.16,68.92,88.17,94.21,0.0,1151.36,6284.11,0.0,10.61,57.89,0.0,1151.36,2563.24,0.0,10.61,23.61
MBISO000009,PH015518011,2022-01-01,S,4054.83,4159.14,5806.8,69.83,71.63,100.0,0.0,0.0,4324.4,0.0,0.0,74.47,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00000A,PH015518012,2022-01-01,S,5663.64,9696.63,9696.63,58.19,99.62,99.62,8621.35,9696.63,9696.63,88.58,99.62,99.62,1864.79,9696.63,9696.63,19.16,99.62,99.62
MBISO00000B,PH015518013,2022-01-01,S,2777.73,2777.73,2777.73,93.94,93.94,93.94,2777.73,2777.73,2777.73,93.94,93.94,93.94,2777.73,2777.73,2777.73,93.94,93.94,93.94
MBISO00000C,PH015518014,2022-01-01,S,937.14,937.14,937.14,100.0,100.0,100.0,0.0,937.14,937.14,0.0,100.0,100.0,0.0,937.14,937.14,0.0,100.0,100.0
MBISO00000D,PH015518015,2022-01-01,S,2736.87,2736.87,2736.87,85.87,85.87,85.87,513.28,2736.87,2736.87,16.1,85.87,85.87,0.0,2736.87,2736.87,0.0,85.87,85.87
MBISO00000E,PH015518016,2022-01-01,S,0.0,0.0,64.71,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00000F,PH015518017,2022-01-01,S,14468.09,14915.28,14961.43,96.7,99.69,100.0,10037.17,14915.28,14961.43,67.09,99.69,100.0,0.0,13968.43,14961.43,0.0,93.36,100.0
MBISO000010,PH015518018,2022-01-01,S,6474.46,6549.41,6549.41,98.86,100.0,100.0,4101.15,6549.41,6549.41,62.62,100.0,100.0,0.0,6549.41,6549.41,0.0,100.0,100.0
MBISO000011,PH015518019,2022-01-01,S,1748.38,1931.88,2440.7,71.63,79.15,100.0,220.95,1955.88,2440.7,9.05,80.14,100.0,0.0,1931.88,2440.7,0.0,79.15,100.0
MBISO000012,PH015518020,2022-01-01,S,2657.28,2793.14,2793.14,95.14,100.0,100.0,1262.31,2793.14,2793.14,45.19,100.0,100.0,0.0,2793.14,2793.14,0.0,100.0,100.0
MBISO000013,PH015518021,2022-01-01,S,6225.32,7748.25,7748.25,78.85,98.14,98.14,7531.25,7748.25,7748.25,95.39,98.14,98.14,6553.62,7748.25,7748.25,83.01,98.14,98.14
MBISO000014,PH015518022,2022-01-01,S,10462.41,31223.71,31223.71,33.51,100.0,100.0,30079.78,31223.71,31223.71,96.34,100.0,100.0,3821.65,31223.71,31223.71,12.24,100.0,100.0
MBISO000015,PH015518023,2022-01-01,S,8336.32,8336.32,8336.32,94.8,94.8,94.8,8172.53,8336.32,8336.32,92.93,94.8,94.8,421.83,8336.32,8336.32,4.8,94.8,94.8
MBISO000016,PH015518024,2022-01-01,S,1803.37,1803.37,1803.37,81.87,81.87,81.87,1803.37,1803.37,1803.37,81.87,81.87,81.87,1541.99,1803.37,1803.37,70.0,81.87,81.87
MBISO000017,PH015518025,2022-01-01,S,6063.78,6063.78,6063.78,100.0,100.0,100.0,6063.78,6063.78,6063.78,100.0,100.0,100.0,6063.78,6063.78,6063.78,100.0,100.0,100.0
MBISO000018,PH015518026,2022-01-01,S,2717.93,2717.93,2717.93,100.0,100.0,100.0,2241.79,2717.93,2717.93,82.48,100.0,100.0,0.0,2717.93,2717.93,0.0,100.0,100.0
MBISO000019,PH015518027,2022-01-01,S,182.25,182.25,465.33,4.54,4.54,11.59,0.0,0.0,430.23,0.0,0.0,10.72,0.0,0.0,373.12,0.0,0.0,9.29
MBISO00001A,PH015518028,2022-01-01,S,3155.22,3155.22,3155.22,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00001B,PH015518029,2022-01-01,S,821.2,1217.2,1217.2,67.47,100.0,100.0,0.0,1217.2,1217.2,0.0,100.0,100.0,0.0,1175.13,1217.2,0.0,96.54,100.0
MBISO00001C,PH015518030,2022-01-01,S,2212.1,2914.78,2914.78,75.89,100.0,100.0,2609.04,2914.78,2914.78,89.51,100.0,100.0,0.0,2914.78,2914.78,0.0,100.0,100.0
MBISO00001D,PH015518031,2022-01-01,S,7896.28,8001.15,8001.15,98.69,100.0,100.0,8001.15,8001.15,8001.15,100.0,100.0,100.0,461.31,8001.15,8001.15,5.77,100.0,100.0
MBISO00001E,PH015518032,2022-01-01,S,2095.68,2195.38,2195.38,95.46,100.0,100.0,1137.0,2195.38,2195.38,51.79,100.0,100.0,0.0,2195.38,2195.38,0.0,100.0,100.0
MBISO00001F,PH034919001,2022-01-01,S,0.0,277.16,2498.32,0.0,8.45,76.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.43,0.0,0.0,43.45
MBISO000020,PH034919003,2022-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000021,PH034919004,2022-01-01,S,0.0,1160.72,1160.72,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.72,0.0,0.0,100.0
MBISO000022,PH034919005,2022-01-01,S,0.0,0.0,291.12,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000023,PH034919006,2022-01-01,S,0.0,538.78,1082.61,0.0,46.22,92.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.96,0.0,0.0,84.32
MBISO000024,PH034919007,2022-01-01,S,0.0,0.0,726.29,0.0,0.0,36.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.2,0.0,0.0,19.02
MBISO000025,PH034919008,2022-01-01,S,159.2,2428.72,2756.83,5.62,85.78,97.36,0.0,0.0,0.0,0.0,0.0,0.0,2200.02,2423.26,2723.27,77.7,85.58,96.18
MBISO000026,PH034919010,2022-01-01,S,0.0,956.02,1224.69,0.0,74.4,95.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.98,0.0,0.0,92.14
MBISO000027,PH034919011,2022-01-01,S,0.0,816.17,837.32,0.0,97.47,100.0,0.0,0.0,0.0,0.0,0.0,0.0,718.74,835.72,837.32,85.84,99.81,100.0
MBISO000028,PH034919012,2022-01-01,S,2968.08,6453.56,6805.59,43.61,94.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,258.88,5519.33,6733.23,3.8,81.1,98.94
MBISO000029,PH034919013,2022-01-01,S,1422.76,4248.49,5335.65,24.79,74.03,92.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2333.89,5304.38,0.0,40.67,92.43
MBISO00002A,PH034919014,2022-01-01,S,118.75,4688.65,7008.13,1.59,62.82,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.26,6096.3,0.0,6.31,81.68
MBISO00002B,PH034919015,2022-01-01,S,91.18,652.25,652.25,13.98,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.82,652.25,0.0,55.93,100.0
MBISO00002C,PH034919016,2022-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00002D,PH034919017,2022-01-01,S,265.48,3007.24,3882.33,5.76,65.27,84.26,0.0,0.0,0.0,0.0,0.0,0.0,747.0,3063.11,3915.6,16.21,66.48,84.99
MBISO00002E,PH034919018,2022-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00002F,PH034919020,2022-01-01,S,0.0,2395.31,3075.32,0.0,77.35,99.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.63,0.0,0.0,91.76
MBISO000030,PH034919021,2022-01-01,S,0.0,33.56,2045.73,0.0,1.34,81.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.23,0.0,0.0,21.29
MBISO000031,PH034919022,2022-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000032,PH050506001,2022-01-01,S,4368.13,4547.71,4547.71,96.05,100.0,100.0,0.0,4374.73,4547.71,0.0,96.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000033,PH050506002,2022-01-01,S,128.64,1817.24,2663.82,4.83,68.22,100.0,0.0,0.0,2259.25,0.0,0.0,84.81,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000034,PH050506003,2022-01-01,S,666.19,1495.75,1495.75,43.59,97.88,97.88,0.0,330.52,1495.75,0.0,21.63,97.88,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000035,PH050506004,2022-01-01,S,2483.32,4581.36,6504.61,37.96,70.03,99.42,0.0,0.0,1060.85,0.0,0.0,16.22,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000036,PH050506005,2022-01-01,S,0.0,1656.36,1656.36,0.0,100.0,100.0,0.0,1656.36,1656.36,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000037,PH050506007,2022-01-01,S,0.0,1685.82,1685.82,0.0,100.0,100.0,0.0,1685.82,1685.82,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000038,PH050506008,2022-01-01,S,163.76,638.35,638.35,18.74,73.03,73.03,0.0,638.35,638.35,0.0,73.03,73.03,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000039,PH050506009,2022-01-01,S,66.45,66.45,66.45,14.57,14.57,14.57,0.0,66.45,66.45,0.0,14.57,14.57,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003A,PH050506010,2022-01-01,S,1744.4,1744.4,1744.4,99.96,99.96,99.96,297.59,1744.4,1744.4,17.05,99.96,99.96,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003B,PH050506011,2022-01-01,S,1742.49,1742.49,1742.49,56.66,56.66,56.66,1742.49,1742.49,1742.49,56.66,56.66,56.66,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003C,PH050506012,2022-01-01,S,1252.93,1252.93,1252.93,91.03,91.03,91.03,66.89,1252.93,1252.93,4.86,91.03,91.03,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003D,PH050506013,2022-01-01,S,1537.7,1537.7,1537.7,100.0,100.0,100.0,1537.7,1537.7,1537.7,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003E,PH050506015,2022-01-01,S,718.64,840.06,840.06,78.85,92.18,92.18,718.64,840.06,840.06,78.85,92.18,92.18,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00003F,PH050506016,2022-01-01,S,0.0,1727.61,1727.61,0.0,100.0,100.0,0.0,1727.61,1727.61,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000040,PH050506017,2022-01-01,S,2319.27,2319.27,2319.27,100.0,100.0,100.0,2285.69,2319.27,2319.27,98.55,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000041,PH050506018,2022-01-01,S,99.53,99.53,99.53,63.41,63.41,63.41,99.53,99.53,99.53,63.41,63.41,63.41,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000042,PH050506019,2022-01-01,S,354.69,354.69,354.69,100.0,100.0,100.0,354.69,354.69,354.69,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000043,PH050506020,2022-01-01,S,294.24,294.24,294.24,71.86,71.86,71.86,294.24,294.24,294.24,71.86,71.86,71.86,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000044,PH050506021,2022-01-01,S,473.63,473.63,473.63,100.0,100.0,100.0,473.63,473.63,473.63,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000045,PH050506022,2022-01-01,S,634.67,634.67,634.67,86.9,86.9,86.9,634.67,634.67,634.67,86.9,86.9,86.9,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000046,PH050506023,2022-01-01,S,602.67,602.67,602.67,82.78,82.78,82.78,602.67,602.67,602.67,82.78,82.78,82.78,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000047,PH050506024,2022-01-01,S,247.96,247.96,247.96,77.47,77.47,77.47,247.96,247.96,247.96,77.47,77.47,77.47,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000048,PH050506025,2022-01-01,S,397.58,397.58,397.58,100.0,100.0,100.0,397.58,397.58,397.58,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000049,PH050506026,2022-01-01,S,170.86,178.05,178.05,95.96,100.0,100.0,178.05,178.05,178.05,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004A,PH050506027,2022-01-01,S,0.0,540.61,540.61,0.0,100.0,100.0,0.0,540.61,540.61,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004B,PH050506028,2022-01-01,S,719.44,719.44,719.44,92.44,92.44,92.44,719.44,719.44,719.44,92.44,92.44,92.44,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004C,PH050506029,2022-01-01,S,357.91,357.91,357.91,100.0,100.0,100.0,357.91,357.91,357.91,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004D,PH050506030,2022-01-01,S,1256.33,1256.33,1256.33,100.0,100.0,100.0,1256.33,1256.33,1256.33,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004E,PH050506032,2022-01-01,S,927.6,927.6,927.6,92.14,92.14,92.14,693.83,927.6,927.6,68.92,92.14,92.14,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00004F,PH050506033,2022-01-01,S,1037.37,1037.37,1037.37,100.0,100.0,100.0,1037.37,1037.37,1037.37,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000050,PH050506034,2022-01-01,S,82.71,82.71,82.71,67.03,67.03,67.03,82.71,82.71,82.71,67.03,67.03,67.03,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000051,PH050506035,2022-01-01,S,3583.34,3583.34,3583.34,100.0,100.0,100.0,3583.34,3583.34,3583.34,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000052,PH050506037,2022-01-01,S,3025.63,3197.95,3197.95,94.61,100.0,100.0,157.68,3197.95,3197.95,4.93,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000053,PH050506038,2022-01-01,S,0.0,585.51,585.51,0.0,80.45,80.45,0.0,585.51,585.51,0.0,80.45,80.45,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000054,PH050506039,2022-01-01,S,0.0,389.24,389.24,0.0,92.85,92.85,0.0,389.24,389.24,0.0,92.85,92.85,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000055,PH050506040,2022-01-01,S,0.0,1295.37,1295.37,0.0,100.0,100.0,0.0,1211.16,1295.37,0.0,93.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000056,PH050506041,2022-01-01,S,326.21,673.22,673.22,48.45,100.0,100.0,0.0,673.22,673.22,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000057,PH050506042,2022-01-01,S,905.99,1721.68,1721.68,52.62,100.0,100.0,0.0,1721.68,1721.68,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000058,PH050506043,2022-01-01,S,62.98,1410.94,1410.94,3.64,81.47,81.47,0.0,1410.94,1410.94,0.0,81.47,81.47,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000059,PH050506044,2022-01-01,S,445.81,1666.72,2597.68,14.73,55.06,85.81,0.0,0.0,42.66,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005A,PH050506045,2022-01-01,S,5501.19,6811.56,6957.94,79.06,97.9,100.0,0.0,2993.35,6957.94,0.0,43.02,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005B,PH050506046,2022-01-01,S,5695.59,5695.59,5695.59,100.0,100.0,100.0,0.0,5695.59,5695.59,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005C,PH050506047,2022-01-01,S,2680.24,3269.29,3686.36,63.1,76.97,86.79,0.0,0.0,3283.77,0.0,0.0,77.31,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005D,PH050506048,2022-01-01,S,467.02,672.91,867.76,33.46,48.21,62.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005E,PH050506049,2022-01-01,S,757.51,2172.65,2622.93,24.96,71.6,86.43,0.0,0.0,2595.05,0.0,0.0,85.51,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00005F,PH050506050,2022-01-01,S,22.62,577.81,1189.21,1.11,28.46,58.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000060,PH050506051,2022-01-01,S,2078.69,2721.2,2721.2,76.39,100.0,100.0,47.1,2721.2,2721.2,1.73,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000061,PH050506052,2022-01-01,S,2242.81,2242.81,2242.81,100.0,100.0,100.0,2242.81,2242.81,2242.81,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000062,PH050506053,2022-01-01,S,1700.28,1703.09,1703.09,99.84,100.0,100.0,0.0,1322.46,1703.09,0.0,77.65,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000063,PH050506054,2022-01-01,S,11863.57,17520.63,17520.63,67.71,100.0,100.0,0.0,13832.62,17520.63,0.0,78.95,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000064,PH050506055,2022-01-01,S,2534.67,2556.93,2556.93,82.87,83.6,83.6,97.72,2556.93,2556.93,3.2,83.6,83.6,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000065,PH050506056,2022-01-01,S,2446.2,4375.91,4570.31,51.61,92.32,96.42,0.0,690.43,4516.89,0.0,14.57,95.29,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000066,PH050506057,2022-01-01,S,384.31,1956.42,2594.48,14.81,75.41,100.0,0.0,0.0,2233.35,0.0,0.0,86.08,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000067,PH050506058,2022-01-01,S,295.36,1396.27,1553.23,19.02,89.89,100.0,0.0,0.0,1403.62,0.0,0.0,90.37,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000068,PH050506059,2022-01-01,S,936.24,2996.92,2996.92,31.24,100.0,100.0,0.0,34.24,2996.92,0.0,1.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000069,PH050506060,2022-01-01,S,388.69,3929.83,4490.18,8.3,83.87,95.83,0.0,1199.68,4304.2,0.0,25.6,91.86,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006A,PH050506061,2022-01-01,S,423.75,910.81,1104.0,25.99,55.86,67.71,0.0,0.0,1084.34,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006B,PH050506062,2022-01-01,S,1704.39,3199.53,3199.53,50.49,94.78,94.78,0.0,1303.68,3199.53,0.0,38.62,94.78,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006C,PH050506063,2022-01-01,S,10453.99,11152.74,11152.74,93.73,100.0,100.0,4760.27,11152.74,11152.74,42.68,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006D,PH050506064,2022-01-01,S,8650.51,10127.6,10127.6,85.42,100.0,100.0,0.0,10127.6,10127.6,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006E,PH050506065,2022-01-01,S,8.98,896.83,1355.12,0.45,45.4,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO00006F,PH050506066,2022-01-01,S,2575.33,2814.12,2814.12,91.51,100.0,100.0,0.0,2659.82,2814.12,0.0,94.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000070,PH050506067,2022-01-01,S,6482.0,6482.0,6482.0,100.0,100.0,100.0,1525.0,6482.0,6482.0,23.53,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000071,PH050506069,2022-01-01,S,875.01,1579.42,1579.42,55.4,100.0,100.0,0.0,1310.39,1579.42,0.0,82.97,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000072,PH050506070,2022-01-01,S,17123.12,24182.34,24182.34,70.79,99.97,99.97,1336.72,22762.98,24182.34,5.53,94.11,99.97,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000073,PH050506071,2022-01-01,S,287.05,468.26,637.51,28.73,46.87,63.82,0.0,0.0,444.02,0.0,0.0,44.45,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000074,PH050506072,2022-01-01,S,0.0,202.9,202.9,0.0,60.0,60.0,0.0,202.9,202.9,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000075,PH050506073,2022-01-01,S,1049.1,1049.1,1049.1,97.54,97.54,97.54,1049.1,1049.1,1049.1,97.54,97.54,97.54,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000076,PH050506074,2022-01-01,S,6116.18,6116.18,6116.18,100.0,100.0,100.0,6116.18,6116.18,6116.18,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000077,PH050506077,2022-01-01,S,0.0,1035.17,1203.09,0.0,82.53,95.91,0.0,547.59,1135.25,0.0,43.65,90.5,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000078,PH063022001,2022-01-01,S,2046.38,2046.38,2046.38,100.0,100.0,100.0,0.0,2045.32,2046.38,0.0,99.95,100.0,1604.52,2046.38,2046.38,78.41,100.0,100.0
MBISO000079,PH063022003,2022-01-01,S,731.32,731.32,731.32,54.64,54.64,54.64,0.0,731.32,731.32,0.0,54.64,54.64,731.32,731.32,731.32,54.64,54.64,54.64
MBISO00007A,PH063022004,2022-01-01,S,3935.71,4557.03,4557.03,84.84,98.23,98.23,3612.69,4557.03,4557.03,77.88,98.23,98.23,3395.88,4557.03,4557.03,73.2,98.23,98.23
MBISO00007B,PH063022005,2022-01-01,S,2843.21,2843.21,2843.21,99.22,99.22,99.22,0.0,2843.21,2843.21,0.0,99.22,99.22,2843.21,2843.21,2843.21,99.22,99.22,99.22
MBISO00007C,PH063022006,2022-01-01,S,1011.12,1011.12,1011.12,82.85,82.85,82.85,134.32,1011.12,1011.12,11.01,82.85,82.85,876.8,1011.12,1011.12,71.84,82.85,82.85
MBISO00007D,PH063022007,2022-01-01,S,578.94,578.94,578.94,91.92,91.92,91.92,504.24,578.94,578.94,80.06,91.92,91.92,578.94,578.94,578.94,91.92,91.92,91.92
MBISO00007E,PH063022008,2022-01-01,S,870.81,870.81,870.81,100.0,100.0,100.0,870.81,870.81,870.81,100.0,100.0,100.0,870.81,870.81,870.81,100.0,100.0,100.0
MBISO00007F,PH063022009,2022-01-01,S,4678.61,4678.61,4678.61,97.99,97.99,97.99,1778.94,4678.61,4678.61,37.26,97.99,97.99,3581.75,4678.61,4678.61,75.02,97.99,97.99
MBISO000080,PH063022010,2022-01-01,S,8785.38,8815.86,8815.86,99.65,100.0,100.0,0.0,8815.86,8815.86,0.0,100.0,100.0,0.0,8809.56,8815.86,0.0,99.93,100.0
MBISO000081,PH063022011,2022-01-01,S,3683.62,4009.81,4009.81,91.87,100.0,100.0,3153.77,4009.81,4009.81,78.65,100.0,100.0,0.0,447.81,4009.81,0.0,11.17,100.0
MBISO000082,PH063022012,2022-01-01,S,4177.64,4177.64,4177.64,99.81,99.81,99.81,0.0,4177.64,4177.64,0.0,99.81,99.81,2007.65,4177.64,4177.64,47.97,99.81,99.81
MBISO000083,PH063022014,2022-01-01,S,1542.15,1542.15,1542.15,65.53,65.53,65.53,0.0,1542.15,1542.15,0.0,65.53,65.53,1542.15,1542.15,1542.15,65.53,65.53,65.53
MBISO000084,PH063022015,2022-01-01,S,752.61,752.61,752.61,95.84,95.84,95.84,752.61,752.61,752.61,95.84,95.84,95.84,752.61,752.61,752.61,95.84,95.84,95.84
