uuid,adm4_pcode,date,freq,clinic_count,clinic_nearest,dentist_count,dentist_nearest,doctors_count,doctors_nearest,hospital_count,hospital_nearest,optician_count,optician_nearest,pharmacy_count,pharmacy_nearest
OSMPH000000,PH015518016,2018-01-01,Y,0.0,10000.0,0.0,1769.3742673600902,0.0,10000.0,0.0,1287.6105354538772,0.0,1641.869234605981,0.0,1041.4145282523132
OSMPH000001,PH015518031,2018-01-01,Y,0.0,10000.0,1.0,0.0,0.0,10000.0,2.0,0.0,0.0,119.94614147824268,5.0,0.0
OSMPH000002,PH015518022,2018-01-01,Y,0.0,10000.0,0.0,16.499396451445552,0.0,10000.0,0.0,18.13722192327455,0.0,485.6928450643257,15.0,0.0
OSMPH000003,PH015518024,2018-01-01,Y,0.0,10000.0,0.0,242.77077850492145,0.0,10000.0,0.0,317.0531454575098,0.0,222.4141841593341,4.0,0.0
OSMPH000004,PH034919017,2018-01-01,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPH000005,PH034919010,2018-01-01,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPH000006,PH050506053,2018-01-01,Y,0.0,10000.0,0.0,3236.449303070615,0.0,10000.0,0.0,3362.1075594760205,0.0,3306.9406666339114,0.0,3215.1202526929483
OSMPH000007,PH050506056,2018-01-01,Y,0.0,10000.0,0.0,3910.54034274893,0.0,10000.0,0.0,3891.9981371102936,0.0,4202.56689459466,0.0,3974.7623989493136
OSMPH000008,PH050506072,2018-01-01,Y,0.0,10000.0,0.0,145.2826814331253,0.0,10000.0,0.0,761.8614667231619,0.0,1907.292809526886,0.0,6.089867618821141
OSMPH000009,PH050506020,2018-01-01,Y,0.0,10000.0,0.0,567.9825466628583,0.0,10000.0,0.0,1133.159744689396,0.0,35.216591896449245,0.0,421.44632162985073
OSMPH00000A,PH050506051,2018-01-01,Y,0.0,10000.0,0.0,199.6367439183623,0.0,10000.0,0.0,318.51843832485054,0.0,723.1439843947367,0.0,396.7789244981878
OSMPH00000B,PH050506022,2018-01-01,Y,0.0,10000.0,0.0,933.4807982121554,0.0,10000.0,0.0,1500.4325296365737,0.0,194.94225139331408,2.0,0.0
OSMPH00000C,PH050506042,2018-01-01,Y,0.0,10000.0,0.0,208.3856497191601,0.0,10000.0,0.0,35.78329076809423,0.0,1443.8906506077042,0.0,2.2079645503482266
OSMPH00000D,PH050506012,2018-01-01,Y,0.0,10000.0,0.0,86.07117389509062,0.0,10000.0,4.0,0.0,0.0,1134.439915933319,1.0,0.0
OSMPH00000E,PH050506003,2018-01-01,Y,0.0,10000.0,0.0,4273.041413334871,0.0,10000.0,0.0,4415.034325194486,0.0,4296.629122616664,0.0,4208.623951285456
OSMPH00000F,PH050506038,2018-01-01,Y,0.0,10000.0,0.0,64.91614455616777,0.0,10000.0,0.0,305.0672200698804,0.0,1880.7351340030568,0.0,255.29655179162503
OSMPH000010,PH050506007,2018-01-01,Y,0.0,10000.0,0.0,263.2036414411068,0.0,10000.0,0.0,876.4218852944223,0.0,2086.702962151499,0.0,203.9933690564808
OSMPH000011,PH050506043,2018-01-01,Y,0.0,10000.0,0.0,100.29540545231848,0.0,10000.0,0.0,760.5314040660286,0.0,1982.0810104325487,1.0,0.0
OSMPH000012,PH063022084,2018-01-01,Y,0.0,10000.0,0.0,1973.288172634096,0.0,2260.1143713989422,0.0,159.33920374431025,0.0,10000.0,2.0,0.0
OSMPH000013,PH063022081,2018-01-01,Y,0.0,10000.0,0.0,3718.059602972937,0.0,814.3754189785661,0.0,466.6087894226596,0.0,10000.0,1.0,0.0
OSMPH000014,PH063022178,2018-01-01,Y,0.0,10000.0,2.0,0.0,0.0,2416.1994057941206,2.0,0.0,0.0,10000.0,10.0,0.0
OSMPH000015,PH063022189,2018-01-01,Y,0.0,10000.0,0.0,2724.2336576624803,1.0,0.0,0.0,1096.4892092777725,0.0,10000.0,0.0,347.3354413355907
OSMPH000016,PH063022064,2018-01-01,Y,0.0,10000.0,0.0,548.0135739928858,0.0,2643.3492759481264,0.0,658.0792142380599,0.0,10000.0,0.0,195.91770467138429
OSMPH000017,PH063022033,2018-01-01,Y,0.0,10000.0,0.0,5049.183393273032,0.0,6467.474148908937,0.0,982.2032307169436,0.0,10000.0,0.0,601.1727341254701
OSMPH000018,PH063022080,2018-01-01,Y,0.0,10000.0,0.0,2267.139771983762,0.0,429.125843847348,1.0,0.0,0.0,10000.0,0.0,15.841551282992256
OSMPH000019,PH063022097,2018-01-01,Y,0.0,10000.0,0.0,1872.8552422108985,0.0,2714.0173730620595,0.0,164.97929533770903,0.0,10000.0,0.0,14.929202716144204
OSMPH00001A,PH063022154,2018-01-01,Y,0.0,10000.0,0.0,2281.02966551806,0.0,2118.7302998790487,0.0,151.95573799843848,0.0,10000.0,2.0,0.0
OSMPH00001B,PH063022041,2018-01-01,Y,0.0,10000.0,0.0,2630.497300113889,0.0,2791.5632772330423,0.0,768.5540361059062,0.0,10000.0,0.0,225.04914718627447
OSMPH00001C,PH063022186,2018-01-01,Y,0.0,10000.0,0.0,2858.8771807326825,0.0,239.1256619271104,0.0,1287.298760667284,0.0,10000.0,0.0,511.777764846832
